,0
X11_Crizotinib_hydrochloride_0_5_uM_,"11_[('Crizotinib (hydrochloride)', 0.5, 'uM')]"
X11_Cyclosporin_A_0_5_uM_,"11_[('Cyclosporin A', 0.5, 'uM')]"
X11_Dapagliflozin_0_5_uM_,"11_[('Dapagliflozin', 0.5, 'uM')]"
X11_Darolutamide_0_5_uM_,"11_[('Darolutamide', 0.5, 'uM')]"
X11_Delamanid_0_5_uM_,"11_[('Delamanid', 0.5, 'uM')]"
X11_Dexamethasone_0_5_uM_,"11_[('Dexamethasone', 0.5, 'uM')]"
X11_Digitoxin_0_5_uM_,"11_[('Digitoxin', 0.5, 'uM')]"
X11_Dihydroartemisinin_0_5_uM_,"11_[('Dihydroartemisinin', 0.5, 'uM')]"
X11_Drospirenone_0_5_uM_,"11_[('Drospirenone', 0.5, 'uM')]"
X11_Econazole_0_5_uM_,"11_[('Econazole', 0.5, 'uM')]"
X11_Entrectinib_0_5_uM_,"11_[('Entrectinib', 0.5, 'uM')]"
X11_Erythromycin_0_5_uM_,"11_[('Erythromycin', 0.5, 'uM')]"
X11_Esmolol_hydrochloride_0_5_uM_,"11_[('Esmolol (hydrochloride)', 0.5, 'uM')]"
X11_Estrone_sulfate_potassium_0_5_uM_,"11_[('Estrone sulfate (potassium)', 0.5, 'uM')]"
X11_Fedratinib_hydrochloride_hydrate_0_5_uM_,"11_[('Fedratinib (hydrochloride hydrate)', 0.5, 'uM')]"
X11_Filgotinib_0_5_uM_,"11_[('Filgotinib', 0.5, 'uM')]"
X11_Fingolimod_hydrochloride_0_5_uM_,"11_[('Fingolimod (hydrochloride)', 0.5, 'uM')]"
X11_Flutamide_0_5_uM_,"11_[('Flutamide', 0.5, 'uM')]"
X11_Fulvestrant_0_5_uM_,"11_[('Fulvestrant', 0.5, 'uM')]"
X11_Gefitinib_0_5_uM_,"11_[('Gefitinib', 0.5, 'uM')]"
X11_Idoxuridine_0_5_uM_,"11_[('Idoxuridine', 0.5, 'uM')]"
